Full Guest Name,Category
Michael Nissan,Bride's Friends
Itay Lopez,Bride's Family
Daniel Hill,Family Friends
Mia Katz,Bride's Friends
Olivia Ben-David,Family Friends
Henry Katz,Bride's Family
Elijah Williams,Mutual Friends
Itay White,Groom's Side
Mia Lewis,Groom's Friends
Sophia Harris,Other
Emily Taylor,Family Friends
Daniel Torres,Bride's Side
Victoria Sanchez,Bride's Family
Oliver Taylor,Bride's Work Colleagues
Itay Torres,Family Friends
Scarlett Hernandez,Groom's Uni Friends
Mia Garcia,Bride's Side
Mason Williams,Groom's Family
Emma Azulay,Other
Noah Mizrahi,Groom's Uni Friends
Liam Robinson,Bride's Friends
Omer Martin,Bride's Uni Friends
Gal Rodriguez,Other
Eli Torres,Bride's Side
Amit Young,Bride's Uni Friends
Lucas Nissan,Groom's Friends
Evelyn Rosen,Bride's Side
Mason Hill,Groom's Extended Family
Evelyn Dahan,Groom's Work Colleagues
Amit Rodriguez,Groom's Work Colleagues
James Haddad,Bride's Side
Hila Martin,Bride's Family
Isabella Allen,Bride's Extended Family
Harper Levi,Groom's Uni Friends
Noya Peretz,Groom's Work Colleagues
Maya Rodriguez,Bride's Uni Friends
Adi Martinez,Groom's Extended Family
Ella Azulay,Groom's Family
Victoria Lewis,Bride's Extended Family
Victoria Ben-David,Groom's Side
Scarlett Sharabi,Other
Emily Jackson,Mutual Friends
Noah Gonzalez,Groom's Family
Olivia Hernandez,Bride's Family
Emma Flores,Bride's Side
Evelyn Goldberg,Bride's Friends
Daniel Walker,Bride's Friends
Eli Jackson,Bride's Uni Friends
Mateo Anderson,Groom's Work Colleagues
Noah Rosen,Bride's Family
Noam Robinson,Groom's Friends
Omer Binyamin,Bride's Side
Eli Rodriguez,Other
Oliver Martin,Bride's Side
Charlotte Scott,Bride's Uni Friends
Michael Biton,Bride's Uni Friends
Levi Walker,Bride's Uni Friends
Ofir Katz,Other
Theodore Nissan,Bride's Side
Roni White,Bride's Side
Olivia Robinson,Groom's Family
Ava Wilson,Bride's Family
Sebastian Williams,Groom's Extended Family
Daniel Harris,Other
Evelyn Scott,Groom's Uni Friends
Mia Sharabi,Other
Ava Shahaf,Other
Adi Dahan,Bride's Extended Family
Dana Clark,Groom's Uni Friends
Jack Garcia,Family Friends
Michael Shahaf,Bride's Extended Family
Emma Rodriguez,Groom's Side
Mason Amar,Bride's Side
