Full Guest Name,Category
Evelyn Haddad,Family Friends
William Anderson,Mutual Friends
Elijah Peretz,Other
Oliver Taylor,Bride's Uni Friends
Liam Katz,Bride's Friends
Emma Barak,Groom's Uni Friends
Ofir Smith,Groom's Work Colleagues
Penelope Wright,Groom's Extended Family
Jackson Hernandez,Bride's Side
Yonatan Goldberg,Other
Ethan Brown,Bride's Work Colleagues
Penelope White,Groom's Extended Family
Olivia Goldberg,Bride's Extended Family
Liam Sharabi,Groom's Extended Family
Sophia Katz,Groom's Uni Friends
Evelyn Martin,Bride's Friends
Jackson Wilson,Bride's Extended Family
Amelia Shahaf,Bride's Work Colleagues
Sophia King,Groom's Uni Friends
Elijah Thomas,Groom's Side
Victoria Ben-David,Groom's Extended Family
Alexander Allen,Bride's Extended Family
Mia Shapiro,Other
Amit Scott,Bride's Family
Yael Azulay,Bride's Work Colleagues
Sophia Jones,Other
Lily Clark,Groom's Extended Family
Mateo Miller,Groom's Uni Friends
Grace Katz,Mutual Friends
Theodore Peretz,Groom's Side
Emily Johnson,Groom's Work Colleagues
Noah Brown,Bride's Friends
Michael Clark,Bride's Work Colleagues
Mateo Harris,Bride's Side
Chloe Williams,Bride's Extended Family
Amit Dahan,Groom's Work Colleagues
Scarlett Smith,Bride's Work Colleagues
Mason Johnson,Bride's Family
Jackson Jackson,Bride's Uni Friends
Emma Biton,Bride's Friends
Amelia Ben-David,Bride's Extended Family
Emily King,Bride's Work Colleagues
Noya Levi,Bride's Work Colleagues
Scarlett Davis,Bride's Side
Ofir Perez,Groom's Friends
Amit Rodriguez,Family Friends
Sophia Clark,Mutual Friends
Grace Sanchez,Other
Shira Martinez,Mutual Friends
Mateo Hernandez,Bride's Family
Noa Wright,Mutual Friends
Theodore Amar,Bride's Work Colleagues
Alexander Wright,Groom's Family
Emily Robinson,Bride's Friends
Itay Cohen,Bride's Family
Emma Anderson,Bride's Family
Victoria Hernandez,Groom's Uni Friends
Noya Friedman,Groom's Family
Olivia Sharabi,Bride's Extended Family
Levi Williams,Family Friends
Evelyn Miller,Groom's Uni Friends
Daniel Walker,Bride's Uni Friends
Itay Dahan,Bride's Side
Daniel Rodriguez,Family Friends
Charlotte Levi,Bride's Side
Omer Friedman,Other
Ofir Davis,Groom's Family
Lily Miller,Other
Itay Lewis,Bride's Work Colleagues
Noa Young,Groom's Work Colleagues
Gal Nissan,Bride's Work Colleagues
Mia Peretz,Bride's Uni Friends
Mia Garcia,Bride's Work Colleagues
James Jackson,Bride's Family
Grace Dahan,Family Friends
Yael Nissan,Groom's Side
Grace Brown,Bride's Extended Family
Ofir Gonzalez,Bride's Friends
Ava Katz,Bride's Uni Friends
Jackson Barak,Bride's Work Colleagues
Mason Lee,Groom's Extended Family
Charlotte Clark,Groom's Family
Charlotte Mizrahi,Bride's Family
Lucas Levi,Groom's Friends
Amelia Davis,Bride's Friends
